cui,term,target_similarity,article_count,mgb_freq,importance_score,phenotyping_features,expanded_features,symnonym_cui,symnonym_term,acronym_cui,acronym_term
C0002766,Pain management,0.2048,1,0.6374,0.0697,FALSE,FALSE,,,,
C5425799,All other,0.1989,1,0.7664,0.0692,FALSE,FALSE,,,,
C4759845,CTCAE v4 Grade 2,0.1661,1,0.1886,0.0688,FALSE,FALSE,,,,
C0677519,Injury caused by vibration,0.1711,1,0.2328,0.0683,FALSE,FALSE,,,,
C1883532,Vibration Medical Device Problem,0.1667,1,0.2328,0.0665,FALSE,FALSE,,,,
C0011991,Diarrhea,0.1896,1,0.7252,0.0642,FALSE,FALSE,C0013369; C1559308; C1559309; C1559310; C1559311; C1963091,"Dysentery; Grade 1 Diarrhea, CTCAE; Grade 2 Diarrhea, CTCAE; Grade 3 Diarrhea, CTCAE; Grade 4 Diarrhea, CTCAE; Diarrhea, CTCAE",,
C4036205,Ambulate,0.1725,1,0.4176,0.0637,FALSE,FALSE,,,,
C1306459,Primary malignant neoplasm,0.1778,1,0.6512,0.0634,FALSE,FALSE,C0006826,Malignant Neoplasms,,
C0517270,Child coping with hospitalization,0.1687,1,0.3528,0.0627,FALSE,FALSE,,,,
C0373527,Acetaminophen Assay,0.1708,1,0.5866,0.0619,FALSE,FALSE,,,,
C0040134,thyroid (USP),0.1791,1,0.598,0.0612,FALSE,FALSE,,,,
C0042014,Urinalysis,0.1666,1,0.5738,0.0605,FALSE,FALSE,,,AB0000ua,ua
C0260515,Family history of cancer,0.1655,1,0.5586,0.0604,FALSE,FALSE,,,,
C0455388,FH: Multiple sclerosis,0.6036,,,,FALSE,FALSE,,,,
C1868685,"MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO",0.6522,,,,FALSE,FALSE,,,AB0000ms,ms
